date,Bitcoin,Ethereum,Solana,isPartial
2024-08-18,32,4,3,False
2024-08-25,30,4,3,False
2024-09-01,30,4,3,False
2024-09-08,29,4,2,False
2024-09-15,30,4,3,False
2024-09-22,31,4,3,False
2024-09-29,28,3,3,False
2024-10-06,29,3,2,False
2024-10-13,28,3,3,False
2024-10-20,28,3,3,False
2024-10-27,36,4,4,False
2024-11-03,55,6,6,False
2024-11-10,100,12,8,False
2024-11-17,85,9,10,False
2024-11-24,67,9,8,False
2024-12-01,77,11,8,False
2024-12-08,64,9,6,False
2024-12-15,71,9,7,False
2024-12-22,57,7,5,False
2024-12-29,52,6,6,False
2025-01-05,51,6,5,False
2025-01-12,51,6,8,False
2025-01-19,65,7,13,False
2025-01-26,49,6,7,False
2025-02-02,51,8,6,False
2025-02-09,37,5,5,False
2025-02-16,35,5,5,False
2025-02-23,54,6,6,False
2025-03-02,58,7,6,False
2025-03-09,50,6,4,False
2025-03-16,39,5,4,False
2025-03-23,34,4,3,False
2025-03-30,40,5,3,False
2025-04-06,49,6,4,False
2025-04-13,31,4,3,False
2025-04-20,37,5,3,False
2025-04-27,31,4,3,False
2025-05-04,35,6,3,False
2025-05-11,36,6,4,False
2025-05-18,43,6,4,False
2025-05-25,36,5,3,False
2025-06-01,32,5,3,False
2025-06-08,33,5,3,False
2025-06-15,31,4,4,False
2025-06-22,32,5,3,False
2025-06-29,30,4,4,False
2025-07-06,40,6,4,False
2025-07-13,50,10,5,False
2025-07-20,40,12,6,False
2025-07-27,41,11,6,False
2025-08-03,45,15,8,False
2025-08-10,61,32,16,False
2025-08-17,63,31,19,True
